  1    1    2    -0.1232  -0.1305  0.1242  0.1102
  2    1    3    -0.3868  -0.1816  0.3893  0.1799
  3    4    5    -1.0313  -0.5195  1.0336  0.5280
  4    3    5    -0.6817  -0.1588  0.6942  0.1871
  5    5    6     0.8847  0.0783  -0.8754  -0.0502
  6    6    7     0.3554  -0.0477  -0.3548  0.0450
  7    8    9    -4.4064  -0.8973  4.4525  0.2443
  8    8    5     3.3872  1.1698  -3.3872  -0.8469
  9    9   10    -4.4525  -0.2443  4.5000  -0.5104
 10    4   11     0.6413  -0.0071  -0.6327  0.0183
 11    5   11     0.7746  0.0534  -0.7624  -0.0297
 12   11   12     0.3438  -0.3337  -0.3424  0.3334
 13    2   12    -0.3242  -0.2002  0.3270  0.1943
 14    3   12    -0.0976  -0.1212  0.0986  0.0857
 15    7   12     0.1648  -0.0650  -0.1645  0.0576
 16   11   13     0.3513  0.1151  -0.3482  -0.1225
 17   12   14     0.1836  0.0261  -0.1828  -0.0413
 18   13   15     0.0082  -0.0375  -0.0081  -0.0214
 19   14   15     0.0428  0.0313  -0.0425  -0.0782
 20   12   16     0.0761  0.0424  -0.0759  -0.0625
 21   15   17    -1.0356  -0.2459  1.0514  0.2552
 22   16   17    -0.1741  -0.0375  0.1755  -0.0025
 23   17   18     0.8019  0.2498  -0.7931  -0.2262
 24   18   19     0.1931  0.1488  -0.1924  -0.1563
 25   19   20    -0.1062  0.0531  0.1066  -0.0786
 26   15   19     0.1148  0.1327  -0.1144  -0.1408
 27   20   21    -0.2866  0.0486  0.2883  -0.0605
 28   21   22    -0.4283  -0.0195  0.4325  0.0160
 29   22   23    -0.5325  -0.0660  0.5429  0.0752
 30   23   24     0.0825  0.1093  -0.0821  -0.1575
 31   23   25    -1.6256  -0.2586  1.6675  0.3831
 32   26   25     0.9020  0.2158  -0.9020  -0.1864
 33   25   27     1.4345  0.3005  -1.3706  -0.1528
 34   27   28     0.3285  -0.0059  -0.3263  -0.0044
 35   28   29     0.1563  -0.0656  -0.1556  0.0464
 36   30   17     2.3070  0.9389  -2.3070  -0.7106
 37    8   30     0.7392  0.2729  -0.7357  -0.7465
 38   26   30     2.2380  -0.1196  -2.1982  -0.3610
 39   17   31     0.1477  0.1158  -0.1458  -0.1479
 40   29   31    -0.0844  -0.0864  0.0846  0.0791
 41   23   32     0.9302  0.0441  -0.9025  -0.0562
 42   31   32    -0.2988  0.1141  0.3022  -0.1264
 43   27   32     0.1247  0.0050  -0.1243  -0.0217
 44   15   33     0.0715  -0.0551  -0.0712  0.0258
